tipo,oferente,programa,pais,institucion,area,modalidad,fecha_limite,estado
Maestría,DAAD,Development-Related Postgraduate Courses (EPOS),Alemania,Varias Universidades,"Economic Sciences/Business Administration/Political Economics/, Development Cooperation, Engineering and Related Sciences, Regional and Urban Planning, Agricultural and Forest Sciences, Natural and Environmental Sciences, Medicine/Public Health, Social Sciences, Education and Law, Media Studies",Presencial,2026-03-01,
Posgrado,University of Salford,Salford International Excellence Award,Reino Unido,Varias,Varias áreas,Presencial,"Se abre el 25 de Septiembre, no tiene fecha límite pero se debe aplicar lo más pronto posible",
Postgrado,Universidad de Queensland,UQ Vice-Chancellor’s Scholarship,Australia,varias,Varias áreas,Presencial,2026-11-01,
Pregrado,James Cook University,International Excellence Scholarship,Australia,Varias,Varias áreas,Presencial,Se evalúa automáticamente cuando se recibe la solicitud.,
Maestría,FUNIBER / UNEATLANTICO,Lanzamiento de los nuevos programas en diversas áreas de maestrías,España,Varias,Varias áreas,Presencial,Sin limite de fecha,VIGENTE
Doctorado,FUNIBER / UNEATLANTICO,Lanzamiento de los nuevos programas en diversas áreas de doctorado,España,Varias,Varias áreas,Presencial,Sin limite de fecha,VIGENTE
Pregrado,Hawai‘i Pacific University,INTERNATIONAL SCHOLARSHIPS (HPU ACADEMIC MERIT SCHOLARSHIPS),Estados Unidos,Varias,Varias áreas,Presencial,Son evaluados el día que envíen la solicitud,
Pasantía,OIST,OIST Internship Program,Japón,OIST Graduate School,"Pasantías, Investigación",Presencial,2026-03-31,
Posgrado,Instituto de Ciencia y Tecnología de Gwangju (GIST),Beca global GIST 2024,Corea del Sur,Instituto de Ciencia y Tecnología de Gwangju (GIST),"Ingenierías, ciencias de la vida, Química",Presencial,2026-04-10,
Posgrado,Gobierno Suizo,Becas de Excelencia del Gobierno Suizo (SGS),Suiza,Universidades Cantonales y Universidades de Arte,Artes y ciencias,Presencial,2026-10-28,
Posgrado,Universidad de Melbourne,Becas de la Universidad de Melbourne,Australia,Universidad de Melbourne,Varias áreas,Presencial,2026-10-31,
Maestría,Reino Unido,Becas Chevening 2025,Reino Unido,Universidades de Reino Unido,Varias áreas,Presencial,2024-11-05,
Formación,Gobierno de Italia,"Becas DSU del Gobierno de Italia 2025, Politecnico Di Milano",Italia,Politecnico Di Milano,Varias áreas,Presencial,2024-11-05,
Formación,Gobierno de Italia,"Becas DSU del Gobierno de Italia 2025, Universidad de Milán",Italia,Universidad de Milán,Varias áreas,Presencial,2024-09-30,
Maestría / Doctorado,La Universidad de Jilin y el Gobierno de China (CSC),Beca Jilin CSC completa,China,Universidad de Jilin,Varias áreas,Presencial,2026-03-01,
Maestria,Programa internacional de becas mundiales VLIR-UOS,Becas VLIR-UOS en Bélgica,Bélgica,Universidades o instituciones de Bélgica suscritas al programa VLIR-UOS,Varias áreas,Presencial,2026-02-28,
Capacitación,La Escuela de Verano del Biocentro de Viena,Becas de Verano del Vienna Biocenter,Austria,Vienna Biocenter Summer (VBC),Ciencias de la vida,Presencial,2026-01-11,
Formación,King’s College London,Becas del King’s College London,Reino Unido,King’s College London,Ciencias de la vida,Presencial,2026-04-24,
Pasantías,Instituto Max Planck en Múnich,Pasantía Max Planck 2025,Alemania,Instituto Max Planck en Múnich,"Ciencias de la computación, informatica",Presencial,2026-11-01,
Pregrado,Universidad de Alaberta,General International Undergraduate Scholarships,Canadá,Universidad de Alaberta,Varias áreas,Presencial,2027-01-10,
Doctorado,Universidad Católica de Australia,Beca en Australia completa ACU,Australia,Universidad Católica de Australia,Varias áreas,Presencial,2026-03-01,
Pregrado,Universidad de Dayton,Becas de la Universidad de Dayton para Empoderar a Estudiantes,Estados Unidos,Universidad de Dayton,"Artes y Ciencias, Administración, Ingeniería y Ciencias de la Salud",Presencial,2026-05-01,
Postgrado,Universidad Charles Darwin en Australia,Becas para Maestrías y Doctorados en la Universidad Charles Darwin en Australia,Australia,Universidad Charles Darwin en Australia,"Contabilidad, Economía, Ingeniería, Ciencias Humanas y Sociales
Tecnología de la Información e Ingeniería de Redes y salud",Presencial,2024-09-30,
Formación,Instituto Reuters para el Estudio del Periodismo de la Universidad de Oxford,Beca Completa REUTERS 2025,Reino Unido,Instituto Reuters para el Estudio del Periodismo de la Universidad de Oxford,"Comunicación, Periodismo",Presencial,2026-02-13,
Pasantías,El Consejo Nacional de Ciencia y Tecnología (NSTC) de Taiwán,Pasantía completa NSTC en Taiwán 2025,Taiwán,Consejo Nacional de Ciencia y Tecnología (NSTC),Ciencia y tecnología,Presencial,2026-09-15,
Maestria,El Máster Europeo para la Industria en Electrónica de Microondas y Fotónica (EMIMEP),Beca en Europa Erasmus Mundus 2025,Europa,"Universidad de Limoges (Francia), Universidad de Brescia (Italia), Universidad del País Vasco (España), Universidad Friedrich Schiller de Jena (Alemania).","Electrónica., Telecomunicaciones, Fotónica, Física Aplicada.",Presencial,2026-03-13,
Maestría / Doctorado,Gobierno de Irlanda,Becas HEA del Gobierno de Irlanda,Irlanda,Autoridad de Educación Superior (HEA),Varias áreas,Presencial,2026-03-02,
Formación,Gobierno de Finlandia,Becas Completas del Gobierno de Finlandia,Finlandia,Universidades de Finlandia,"Agricultura, silvicultura, pesca y veterinaria.",Presencial,Inicios de enero y antes de septiembre,
Pregrado,Universidad de Bristol,Becas Think Big de la Universidad de Bristol,Reino Unido,Universidad de Bristol,Varias áreas,Presencial,2026-04-10,
Maestría,Universidad de Bristol,Becas Think Big de la Universidad de Bristol,Reino Unido,Universidad de Bristol,Varias áreas,Presencial,2026-04-10,
Doctorado,Universidad Victoria de Wellington,Beca Completa de Doctorado Wellington,Nueva Zelanda,Universidad Victoria de Wellington,Varias áreas,Presencial,2026-03-01,
Pregrado,Douglas College,Becas Douglas College,Canadá,Douglas College,Varias áreas,Presencial,2026-05-31,
Formación,Universidad de Pécs,Beca Completa Stipendium Hungaricum,Hungría,Universidad de Pécs,Varias áreas,Presencial,2025-01-15,
Maestría,Instituto Sueco (SI),Becas Completas del Instituto Sueco (SI),Suecia,Instituto Sueco (SI),Varias áreas,Presencial,2026-02-25,
Pasantía,Fundación Amgen,Pasantía Completa Amgen UTokyo 2025,Japón,Universidad de Tokyo,Biología y Ciencias,Presencial,2026-02-01,
Formación,Gobierno de Hungría,Becas Stipendium Hungaricum,Hungría,University of Debrecen y otras instituciones de educación superior,Varias áreas,Presencial,2025-01-15,
Maestría / Doctorado,Instituto de Tecnología Harbin,Beca Completa HIT CSC,China,Instituto de Tecnología Harbin,Varias áreas,Presencial,2026-02-20,
Maestría / Doctorado,Instituto de Tecnología de Beijing (BIT),Beca Completa BIT CSC,China,Instituto de Tecnología de Beijing (BIT),Varias áreas,Presencial,2025-06-15,
Formación,Universidad de Ciencia y Tecnología de China (USTC),Becas Completas USTC,China,Universidad de Ciencia y Tecnología de China (USTC),Varias áreas,Presencial,2026-03-31,
Maestría,Fundación Heinrich Böll,Becas Completas Fundación Heinrich Böll,Alemania,Fundación Heinrich Böll,Varias áreas,Presencial,2026-03-01,
Maestría,BI Norwegian Business School,Beca Presidencial BI,Noruega,BI Norwegian Business School,Varias áreas,Presencial,2026-03-01,
Maestría,Universidad de Ámsterdam,Becas de la Universidad de Ámsterdam,Holanda,Universidad de Ámsterdam,Varias áreas,Presencial,2025-05-01,
Maestría / Doctorado,Ministerio de Europa y Asuntos Exteriores de Francia,Beca France Excellence Eiffel,Francia,Campus France,"Biología, Ingenierías, Ciencias Sociales y Economía.",Presencial,2026-12-01,
Doctorado / investigación,Ministerio de Relaciones Exteriores de la República de China,Becas Taiwán Fellowship,Taiwán,Universidades de Taiwán,"Artes, Humanidades, Ciencias Sociales, Administración y Derecho",Presencial,2026-06-30,
Maestría,Boustany Foundation,Becas Boustany MBA Scholarship en la Universidad de Harvard,Estados Unidos,Harvard Business School,"Ciencias Sociales, Administración y Derecho",Presencial,2027-05-31,
Maestría,Universidad Americana de El Cairo (AUC),Becas de maestría en la Universidad Americana de El Cairo,Egipto,Universidad Americana de El Cairo (AUC),Varias áreas,Presencial,2026-05-03,
Investigación,Fundación Arquia y la Real Academia de Bellas Artes de San Fernando,Beca de Investigación en Nueva York,Estados Unidos,Real Academia de Bellas Artes de San Fernando,"Ingeniería, Manufactura y Construcción",Presencial,2025-03-28,
Doctorado,Leeds University Business School,Becas de Excelencia para Doctorado de la Leeds University Business School,Reino Unido,Leeds University Business School,"Ciencias Sociales, Administración y Derecho",Presencial,2026-03-31,
Maestría / Doctorado,Gobierno de Taiwán,Becas del Gobierno de Taiwán - ICDF,Taiwán,Universidades de Taiwán,Varias áreas,Presencial,2026-03-15,
Capacitación,Fullbright,Programa Fulbright de Excelencia en Enseñanza para Profesores de Secundaria,Estados Unidos,Universidadades anfitrionas,Varias áreas,Presencial,2026-01-21,
Capacitación,Fullbright,Programa Hubert H. Humphrey,Estados Unidos,Universidadades anfitrionas,Varias áreas,Presencial,2026-06-17,
Maestría,IEXE Universidad,Becas Internacionales para Programas de Maestrías otorgados por IEXE Universidad,México,IEXE Universidad,Varias áreas,Virtual,7 DE CADA MES,
Maestría,Fundación Carolina,Becas Máster Estudios de Género y Desarrollo Profesional,España,Universidad de Sevilla,Estudios de Género y Desarrollo Profesional,Presencial,2025-03-12,
Maestría,Fundación Juan Esplugues,Becas Iniciación Investigación Fundación Juan Esplugues,España,Universidad de Valencia,"Biotecnología, Biología",Presencial,2026-06-01,
Investigación,"Instituto de Ciencias de la Computación, Inteligencia Artificial y Tecnología (INSAIT)",Programa de investigación INSAIT,Bulgaria,"Instituto de Ciencias de la Computación, Inteligencia Artificial y Tecnología (INSAIT)","Ciencias de la Computación, Inteligencia Artificial,Tecnología, Matemáticas YFísica.",Presencial,2025-01-03,
Maestría,Rosa-Luxemburg-Stiftung,Becas Internacionales de la Rosa-Luxemburg-Stiftung,Alemania,Rosa-Luxemburg-Stiftung,Varias áreas,Presencial,2026-10-01,
Doctorado,Rosa-Luxemburg-Stiftung,Becas Internacionales de la Rosa-Luxemburg-Stiftung,Alemania,Rosa-Luxemburg-Stiftung,Varias áreas,Presencial,2026-10-01,
Formación/intercambio,"Ministerio de Educación, Investigación, Desarrollo y Juventud de la República Eslovaca",Programa Nacional de Becas de la República Eslovaca para 2025,Eslovaquia,Universidades Eslovacas,Varias áreas,Presencial,2026-04-30,
Posgrado,Fundación Carolina,"Becas de la Fundación Carolina, 2025-2026",España,Instituciones Españolas,Varias áreas,Presencial,2026-01-12,
Pregrado,Universidad de Jaén,Convocatoria Programa de Becas de Atracción del Talento para estudios de Grado - 2025/2026,España,Universidad de Jaén,Varias áreas,Presencial,2026-03-01,
Maestría,Universidad de Jaén,Convocatoria Programa de Becas de Atracción del Talento para estudios de Máster - 2025/2026,España,Universidad de Jaén,Varias áreas,Presencial,2026-02-15,
Posgrado,Fundación Fulbright,Programa de Becas Fulbright Maestrías y Doctorados,Estados Unidos,Universidades Estadounidenses,Varias áreas,Presencial,2025-03-10,
Capacitación,Fundación Fulbright,Programa Hubert H. Humphrey,Estados Unidos,Fundación Fulbright,Varias áreas,Presencial,2026-06-17,
Formación,Gobiero de nueva Zelanda,Manaaki New Zealand International Scholarship (ANUAL),Nueva Zelanda,Universidades de Nueva Zelanda,Varias áreas,Presencial,2025-02-28,
Pregrado / Maestría,Griffith University,Griffith Vice Chancellor's International Scholarship,Australia,Griffith University,Varias áreas,Presencial,2026-04-11,
Pregrado / Maestría,University of the new Soul Wales,UNSW Scholarships for International Students,Australia,University of the new Soul Wales,Varias áreas,Presencial,2026-01-16,
Maestría,Université Paris-Saclay,Université Paris-Saclay International Master´s Scholarship,Francia,Université Paris-Saclay,Varias áreas,Presencial,2025-05-09,
Maestría,IOE,IOE Centenary Masters Scholarship,Reino Unido,IOE,Varias áreas,Presencial,2026-05-04,
Pregrado,Illinois Wesleyan University,Scholarships & Financial Aid for International Students of Illinois Wesleyan University,Estados Unidos,Illinois Wesleyan University,Varias áreas,Presencial,2026-03-01,
Maestría,United Nations University,Japan Foundation for UNU (jfUNU) Scholarship,Japón,United Nations University,Varias áreas,Presencial,2026-03-01,
Pregrado / Maestría,The University of Adelaide,Global Academic Excellence 50% International Scholarship,Australia,The University of Adelaide,Varias áreas,Presencial,2025-05-31,
Maestría,The World Bank group,World Bank Scholarships Program,Varios paises,"Varias universidades de U.S.A, Europa, Africa, Oceania y Japon",Varias áreas,Presencial,2026-05-29,
Maestría,Warwick University,Warwick Undergraduate Global Excellence Scholarship,Reino Unido,Warwick University,Varias áreas,Presencial,2026-03-27,
Pregrado / Maestría,University of Bristol,Think Big Undergraduate Awards,Reino Unido,University of Bristol,Varias áreas,Presencial,2026-04-10,
Doctorado,KU Leuven,KU Leuven Global Minds Doctoral Scholarships Programme,Bélgica,KU Leuven,Varias áreas,Presencial,2026-02-27,
Pregrado,University College London,UCL Global Undergraduate Scholarship,Reino Unido,University College London,Varias áreas,Presencial,2026-04-27,
Maestría,University of Nottingham,Developing Solutions Masters Scholarship,Reino Unido,University of Nottingham,Varias áreas,Presencial,2026-04-15,
Maestría,VLIR-UOS ICP,Study Scholarships,Bélgica,VLIR-UOS ICP,Varias áreas,Presencial,2026-02-28,
Pregrado,York University,York University Scholarship for international Students,Canadá,York University,Varias áreas,Presencial,2026-02-18,
Maestría,Universidad de Twente,University of Twente Scholarship (UTS),Paises Bajos,Universidad de Twente,Varias áreas,Presencial,2026-05-01,
Maestría,Utrecht University,Utrecht Excellence Scholarships,Paises Bajos,Utrecht University,Varias áreas,Presencial,2026-02-01,
Maestría,Maastricht University,Maastricht University NL-High Potential scholarship,Paises Bajos,Maastricht University,Varias áreas,Presencial,2026-02-01,
Pregrado / Maestría,Sciences Po University,The Émile Boutmy scholarship,Francia,Sciences Po University,Varias áreas,Presencial,2026-01-20,
Maestría,Leiden University,Leiden University Excellence Scholarship,Paises Bajos,Leiden University,Varias áreas,Presencial,2026-02-02,
Pregrado,University of Calgary,University of Calgary International Entrance Scholarship,Canadá,University of Calgary,Varias áreas,Presencial,2026-03-01,
Pregrado / Maestría,University of Auckland,University of Auckland International Student Excellence Scholarship,Nueva Zelanda,University of Auckland,Varias áreas,Presencial,2026-02-19,
Pregrado / Maestría,University of Wellington,Tongarewa International Scholarship,Nueva Zelanda,University of Wellington,Varias áreas,Presencial,2025-08-01,
Maestría / Doctorado,Heinrich Böll Foundation,The Heinrich Böll Foundation International Students Scholarship,Alemania,Universidades Alemanas,Varias áreas,Presencial,2026-03-01,
Pregrado,The École Polytechnique Fédérale de Lausanne,Bachelor excellence fellowships,Suiza,The École Polytechnique Fédérale de Lausanne,Varias áreas,Presencial,2026-04-30,
Maestría,The École Polytechnique Fédérale de Lausanne,Masters excellence fellowships,Suiza,The École Polytechnique Fédérale de Lausanne,Varias áreas,Presencial,2026-03-31,
Doctorado,Konrad Adenauer (KAS),Beca completa KAS Canadá 2025,Canadá,Universidad de Carleton,"Relaciones Transatlánticas, Ciencias Políticas, Derecho o Economía.",Presencial,2026-02-27,
Maestria/Doctorado,Universidade de Santa Cruz do Sul (UNISC),Becas de Posgrado de UNISC,Brasil,Universidade de Santa Cruz do Sul,"Areas de Economia,Educacion, Derecho y Tecnologia Ambiental",Presencial,2026-05-31,
